id,title,type,release_year,age_certification,runtime,genres,production_countries,imdb_score,imdb_votes
tm25389,Fiza,MOVIE,2000,,170,"['drama', 'romance', 'action', 'crime']",['IN'],6,4168
tm42397,Hello Brother,MOVIE,1999,,131,"['romance', 'action', 'comedy', 'fantasy']",['IN'],4.6,4230
tm210754,Have You Ever Seen Fireflies? - Theatre Play,MOVIE,1999,,118,"['drama', 'comedy']",['TR'],,
tm449775,Shikari,MOVIE,1991,,162,"['drama', 'action']","['IN', 'SU']",5.9,66
tm255589,One Last Shot,MOVIE,1998,,30,[],[],,
ts4,Breaking Bad,SHOW,2008,TV-MA,48,"['drama', 'thriller', 'crime']",['US'],9.5,1727694
ts9,The Walking Dead,SHOW,2010,TV-MA,46,"['action', 'drama', 'scifi', 'thriller', 'horror']",['US'],8.2,945125
ts26091,The Staircase,SHOW,2004,TV-MA,49,"['crime', 'documentation', 'drama']",['FR'],7.8,21531
ts11,Downton Abbey,SHOW,2010,TV-14,58,"['drama', 'romance', 'european']",['GB'],8.7,197744
ts21469,Grey's Anatomy,SHOW,2005,TV-14,49,"['drama', 'romance']",['US'],7.6,293618
ts288536,The Great British Baking Show,SHOW,2010,TV-PG,57,"['reality', 'european']",['GB'],8.6,9564
ts6495,Criminal Minds,SHOW,2005,TV-14,44,"['thriller', 'crime', 'drama']",['US'],8.1,189191
