name,genre
The Mean Season,Crime
Turk 182,Comedy
The Official Story,Drama
Krush Groove,Comedy
He-Man and She-Ra: The Secret of the Sword,Animation
Warning Sign,Drama
Creator,Comedy
Taipei Story,Drama
Otac na sluzbenom putu,Drama
The Aviator,Adventure
Starchaser: The Legend of Orin,Animation
Maxie,Comedy
DEFCON-4,Action
The Care Bears Movie,Animation
Sylvester,Drama
Radioactive Dreams,Action
Twice in a Lifetime,Drama
Dance with a Stranger,Biography
Water,Adventure
One Magic Christmas,Family
Echo Park,Comedy
O.C. and Stiggs,Comedy
The Good Father,Drama
Fever Pitch,Drama
The Doctor and the Devils,Crime
Head Office,Comedy
Eleni,Drama
Dreamchild,Biography
Defense of the Realm,Thriller
Bad Medicine,Comedy
Wetherby,Drama
Compromising Positions,Comedy
Rainbow Brite and the Star Stealer,Animation
Alamo Bay,Action
Three Men and a Cradle,Comedy
In the Shadow of Kilimanjaro,Action
Rappin',Drama
Bal na vodi,Drama
Certain Fury,Action
Bliss,Comedy
Code Name: Emerald,Action
Colonel Redl,Biography
Thunder Run,Action
Marie,Biography
Movers & Shakers,Comedy
La Cage aux Folles 3: The Wedding,Comedy
James Joyce's Women,Drama
Turtle Diary,Comedy
Maccheroni,Comedy
My Man Adam,Comedy
Sudden Death,Action
One Woman or Two,Comedy
Joshua Then and Now,Comedy
On the Edge,Drama
The Girl in the Picture,Comedy
Here Come the Littles,Animation
Came a Hot Friday,Adventure
Wuthering Heights,Drama
The Frog Prince,Comedy
Lune de miel,Thriller
Tea in the Harem,Drama
Mr. Love,Comedy
Death of an Angel,Drama
Sincerely Charlotte,Drama
Top Gun,Action
Aliens,Action
Stand by Me,Adventure
Ferris Bueller's Day Off,Comedy
Crocodile Dundee,Action
Labyrinth,Adventure
Highlander,Action
Big Trouble in Little China,Action
Pretty in Pink,Comedy
Platoon,Drama
Blue Velvet,Drama
Manhunter,Crime
Howard the Duck,Action
The Fly,Drama
Little Shop of Horrors,Comedy
The Mosquito Coast,Adventure
The Karate Kid Part II,Action
River's Edge,Crime
9½ Weeks,Drama
The Golden Child,Action
Star Trek IV: The Voyage Home,Action
Short Circuit,Comedy
The Delta Force,Action
The Name of the Rose,Crime
The Wraith,Action
The Color of Money,Drama
Hoosiers,Drama
Heartbreak Ridge,Drama
Flight of the Navigator,Adventure
Cobra,Action
Peggy Sue Got Married,Comedy
The Mission,Adventure
Working Girls,Drama
Youngblood,Drama
Three Amigos!,Comedy
Maximum Overdrive,Action
Lucas,Comedy
Friday the 13th Part VI: Jason Lives,Horror
The Money Pit,Comedy
Back to School,Comedy
Betty Blue,Drama
About Last Night,Comedy
Critters,Comedy
The Texas Chainsaw Massacre 2,Comedy
Iron Eagle,Action
One Crazy Summer,Comedy
From Beyond,Horror
Sid and Nancy,Biography
Henry: Portrait of a Serial Killer,Biography
Mona Lisa,Crime
Police Academy 3: Back in Training,Comedy
Night of the Creeps,Comedy
The Sacrifice,Drama
The Hitcher,Action
Rad,Drama
An American Tail,Animation
SpaceCamp,Adventure
Raw Deal,Action
Hannah and Her Sisters,Comedy
The Great Mouse Detective,Animation
